datum;nkp;rlm;slp
2016-12-22 00:00:00,000;4775520,984575;2510583,59949925;2264937,38507575
2016-12-23 00:00:00,000;4215760,710975;2123913,222156;2091847,488819
2016-12-24 00:00:00,000;3639128,7867;1795070,2985435;1844058,4881565
2016-12-25 00:00:00,000;3241212,760775;1633022,62720575;1608190,13356925
2016-12-26 00:00:00,000;3360696,7658;1714187,35454175;1646509,41125825
2016-12-27 00:00:00,000;3522440,2939;1794077,46274625;1728362,83115375
2016-12-28 00:00:00,000;3644608,989175;1975921,6318325;1668687,3573425
2016-12-29 00:00:00,000;4006044,36925;2127678,53963775;1878365,82961225
2016-12-30 00:00:00,000;4600234,986325;2444124,37412275;2156110,61220225
2016-12-31 00:00:00,000;4500645,2227;2404907,45625075;2095737,76644925
2017-01-01 00:00:00,000;4656606,553616;2578604,5275962;2078002,0260198
2017-01-02 00:00:00,000;6308185,680404;4031203,47060148;2276982,20980252
2017-01-03 00:00:00,000;6073652,931624;3860691,49599344;2212961,43563056
2017-01-04 00:00:00,000;5241560,240904;2956182,13549556;2285378,10540844
